W,D,N,excess,excess_es,train,steps
4,3125,157,0.1915290504693985,0.18997307121753693,0.32548296451568604,30000
4,4419,157,0.19085627794265747,0.1873314380645752,0.3160852789878845,30000
4,6250,157,0.1752660721540451,0.1746951937675476,0.3192082643508911,30000
4,8839,157,0.17443861067295074,0.17378614842891693,0.3194732367992401,30000
4,12500,157,0.17229405045509338,0.17151619493961334,0.326254278421402,30000
4,17678,157,0.17222243547439575,0.1714925467967987,0.3219751715660095,30000
4,25000,157,0.16830207407474518,0.16812506318092346,0.32197678089141846,30000
4,35355,157,0.16863113641738892,0.16843056678771973,0.325639009475708,30000
4,50000,157,0.16919422149658203,0.16746848821640015,0.3278368413448334,30000
8,3125,345,0.17530012130737305,0.14636768400669098,0.23379971086978912,30000
8,4419,345,0.14001193642616272,0.1335962414741516,0.2364112138748169,30000
8,6250,345,0.11805108189582825,0.11631223559379578,0.2455463409423828,30000
8,8839,345,0.11346405744552612,0.1115642786026001,0.24838031828403473,30000
8,12500,345,0.11319109797477722,0.11115492135286331,0.25561606884002686,30000
8,17678,345,0.11170382797718048,0.11067232489585876,0.2552603781223297,30000
8,25000,345,0.10595308244228363,0.1052984893321991,0.25650009512901306,30000
8,35355,345,0.10645613074302673,0.10460770130157471,0.26096606254577637,30000
8,50000,345,0.10453091561794281,0.10348789393901825,0.26314282417297363,30000
12,3125,565,0.19946058094501495,0.13312479853630066,0.17117244005203247,30000
12,4419,565,0.1382240206003189,0.1110573410987854,0.18567904829978943,30000
12,6250,565,0.09647618234157562,0.08840006589889526,0.19672523438930511,30000
12,8839,565,0.08871437609195709,0.08247347176074982,0.2046463042497635,30000
12,12500,565,0.08219694346189499,0.07816153019666672,0.2163529098033905,30000
12,17678,565,0.07687162607908249,0.07583719491958618,0.2166111320257187,30000
12,25000,565,0.07344426214694977,0.07172036170959473,0.21864093840122223,30000
12,35355,565,0.0714668333530426,0.07036315649747849,0.22291387617588043,30000
12,50000,565,0.07023493200540543,0.06874032318592072,0.22650101780891418,30000
16,3125,817,0.22881832718849182,0.1032598465681076,0.12071152031421661,30000
16,4419,817,0.1401723176240921,0.0739300549030304,0.1404755860567093,30000
16,6250,817,0.10393869131803513,0.06701114773750305,0.16306085884571075,30000
16,8839,817,0.07586684823036194,0.061243560165166855,0.1745789349079132,30000
16,12500,817,0.0668453499674797,0.05814064294099808,0.18905259668827057,30000
16,17678,817,0.05677094683051109,0.05424243211746216,0.19049803912639618,30000
16,25000,817,0.052032534033060074,0.048827238380908966,0.19348451495170593,30000
16,35355,817,0.05123819410800934,0.049433860927820206,0.20044131577014923,30000
16,50000,817,0.049099553376436234,0.04760139063000679,0.20337794721126556,30000
24,3125,1417,0.40453773736953735,0.10591168701648712,0.054690953344106674,30000
24,4419,1417,0.23787832260131836,0.07742316275835037,0.0846107006072998,30000
24,6250,1417,0.15742051601409912,0.06590297073125839,0.11640236526727676,30000
24,8839,1417,0.10686054825782776,0.055106185376644135,0.13884754478931427,30000
24,12500,1417,0.0788593590259552,0.0481819212436676,0.16012050211429596,30000
24,17678,1417,0.05649753659963608,0.042418789118528366,0.16759078204631805,30000
24,25000,1417,0.042354900389909744,0.039227768778800964,0.1718147248029709,30000
24,35355,1417,0.03820081055164337,0.036209844052791595,0.17955149710178375,30000
24,50000,1417,0.037626706063747406,0.03543204069137573,0.18504534661769867,30000
32,3125,2145,0.5439733862876892,0.08014718443155289,0.014218811877071857,30000
32,4419,2145,0.3252312242984772,0.05951108783483505,0.04254726693034172,30000
32,6250,2145,0.22537751495838165,0.04979836568236351,0.0720316618680954,30000
32,8839,2145,0.1412261426448822,0.0426606684923172,0.1012086495757103,30000
32,12500,2145,0.09429693222045898,0.03697145730257034,0.13003019988536835,30000
32,17678,2145,0.05968707799911499,0.032328758388757706,0.1456044763326645,30000
32,25000,2145,0.045340050011873245,0.02967788092792034,0.1547408550977707,30000
32,35355,2145,0.03599661588668823,0.028130074962973595,0.16506314277648926,30000
32,50000,2145,0.03026409074664116,0.026267919689416885,0.17128702998161316,30000
48,3125,3985,0.5234488248825073,0.07094785571098328,0.0009944767225533724,13689
48,4419,3985,0.5573164820671082,0.053806424140930176,0.003204530104994774,30000
48,6250,3985,0.40290218591690063,0.04427938163280487,0.01895003579556942,30000
48,8839,3985,0.26881492137908936,0.03918591886758804,0.04841075465083122,30000
48,12500,3985,0.16854004561901093,0.034963734447956085,0.07971098273992538,30000
48,17678,3985,0.10687927156686783,0.03132601082324982,0.10781050473451614,30000
48,25000,3985,0.07186606526374817,0.028006669133901596,0.12674817442893982,30000
48,35355,3985,0.05102844908833504,0.027368221431970596,0.14612829685211182,30000
48,50000,3985,0.03667245805263519,0.024726439267396927,0.15688484907150269,30000
64,3125,6337,0.3895336985588074,0.0659237802028656,0.0009865514002740383,6331
64,4419,6337,0.433897465467453,0.04795072227716446,0.000995360198430717,10962
64,6250,6337,0.4914015829563141,0.041082486510276794,0.0016937308246269822,30000
64,8839,6337,0.3925008177757263,0.03803044185042381,0.013732251711189747,30000
64,12500,6337,0.25913071632385254,0.03239007294178009,0.04041236266493797,30000
64,17678,6337,0.16158181428909302,0.029910121113061905,0.07340500503778458,30000
64,25000,6337,0.11415489763021469,0.026858588680624962,0.09764276444911957,30000
64,35355,6337,0.07170785218477249,0.02572137489914894,0.1254996806383133,30000
64,50000,6337,0.04975900053977966,0.02325565554201603,0.14046338200569153,30000
96,3125,12577,0.28979045152664185,0.06208392232656479,0.000993945635855198,3718
96,4419,12577,0.3041214048862457,0.04686463624238968,0.0009889412904158235,5148
96,6250,12577,0.3275861442089081,0.040554530918598175,0.0009856283431872725,8325
96,8839,12577,0.3679162859916687,0.036879949271678925,0.0009687879937700927,18410
96,12500,12577,0.40067386627197266,0.03069407306611538,0.003788999980315566,30000
96,17678,12577,0.28887268900871277,0.0286837350577116,0.01934152841567993,30000
96,25000,12577,0.20254813134670258,0.02486768551170826,0.04595286026597023,30000
96,35355,12577,0.12871228158473969,0.024897946044802666,0.0810566321015358,30000
96,50000,12577,0.08119040727615356,0.022856056690216064,0.10751210898160934,30000
128,3125,20865,0.24413640797138214,0.05927387252449989,0.0009297315846197307,2821
128,4419,20865,0.2508384585380554,0.04428130388259888,0.000969740969594568,3798
128,6250,20865,0.2676084041595459,0.03867873176932335,0.0009984546341001987,5400
128,8839,20865,0.2768751382827759,0.03446967154741287,0.0009288612054660916,10990
128,12500,20865,0.3070928156375885,0.02997455932199955,0.000997138675302267,24402
128,17678,20865,0.3359473943710327,0.027243096381425858,0.002723532961681485,30000
128,25000,20865,0.29661837220191956,0.02538701333105564,0.013480804860591888,30000
128,35355,20865,0.20628444850444794,0.023701205849647522,0.03893766552209854,30000
128,50000,20865,0.13305050134658813,0.021224236115813255,0.07175843417644501,30000
192,3125,43585,0.20536190271377563,0.05653736740350723,0.0009479434229433537,2002
192,4419,43585,0.2034662514925003,0.04372500255703926,0.0009473650716245174,2628
192,6250,43585,0.21307727694511414,0.03689850494265556,0.0009734579944051802,3500
192,8839,43585,0.21715357899665833,0.03457546606659889,0.0009295280906371772,7700
192,12500,43585,0.1845519244670868,0.02958151325583458,0.0009433203958906233,20482
192,17678,43585,0.1938840001821518,0.026714446023106575,0.0009263055981136858,25690
192,25000,43585,0.22874101996421814,0.023419804871082306,0.0025462594348937273,30000
192,35355,43585,0.25874948501586914,0.02227589674293995,0.0055525763891637325,30000
192,50000,43585,0.22781333327293396,0.020270682871341705,0.019569436088204384,30000
256,3125,74497,0.17445611953735352,0.04542240872979164,0.0009839844424277544,1547
256,4419,74497,0.17485183477401733,0.037256136536598206,0.0008919892134144902,2052
256,6250,74497,0.1777210831642151,0.03103931061923504,0.0009942817268893123,2550
256,8839,74497,0.1952817440032959,0.0278736911714077,0.0009812450734898448,4060
256,12500,74497,0.14784833788871765,0.02507541887462139,0.0009929469088092446,18179
256,17678,74497,0.14863017201423645,0.02238268405199051,0.000934939831495285,20370
256,25000,74497,0.15588133037090302,0.019512562081217766,0.0024168267846107483,30000
256,35355,74497,0.17608554661273956,0.019062556326389313,0.0027628960087895393,30000
256,50000,74497,0.21304887533187866,0.018527371808886528,0.005649419967085123,30000
