panel,x,width,D,lr,tuned,seed,val_loss
D,65536,64,65536,0.0193,tuned,0,0.0360710828006267
D,65536,64,65536,0.0193,tuned,1,0.0356929118186235
D,65536,64,65536,0.0193,fixed,0,0.0360710828006267
D,65536,64,65536,0.0193,fixed,1,0.0356929118186235
D,131072,64,131072,0.01258,tuned,0,0.0320037773251533
D,131072,64,131072,0.01258,tuned,1,0.0330493023991584
D,131072,64,131072,0.0193,fixed,0,0.0332173260301351
D,131072,64,131072,0.0193,fixed,1,0.0344256108999252
D,262144,64,262144,0.00821,tuned,0,0.0289865119755268
D,262144,64,262144,0.00821,tuned,1,0.0302637985348701
D,262144,64,262144,0.0193,fixed,0,0.030181955769658
D,262144,64,262144,0.0193,fixed,1,0.0309742095321416
D,524288,64,524288,0.00535,tuned,0,0.0265338069200515
D,524288,64,524288,0.00535,tuned,1,0.0281599874049425
D,524288,64,524288,0.0193,fixed,0,0.0287600459903478
D,524288,64,524288,0.0193,fixed,1,0.0294281805306673
D,1048576,64,1048576,0.00349,tuned,0,0.0241965178772807
D,1048576,64,1048576,0.00349,tuned,1,0.0260038322210311
D,1048576,64,1048576,0.0193,fixed,0,0.0273437669873237
D,1048576,64,1048576,0.0193,fixed,1,0.0273392761498689
D,2097152,64,2097152,0.00227,tuned,0,0.0224816820025444
D,2097152,64,2097152,0.00227,tuned,1,0.0234491315111517
D,2097152,64,2097152,0.0193,fixed,0,0.0276779441535472
D,2097152,64,2097152,0.0193,fixed,1,0.027970036715269
D,4194304,64,4194304,0.00148,tuned,0,0.0210498629510402
D,4194304,64,4194304,0.00148,tuned,1,0.0217764556780457
D,4194304,64,4194304,0.0193,fixed,0,0.0313857684284448
D,4194304,64,4194304,0.0193,fixed,1,0.0306960253417491
N,8,8,262144,0.01786,tuned,0,0.1188989749550819
N,8,8,262144,0.01786,tuned,1,0.1209417974948883
N,8,8,262144,0.01786,fixed,0,0.1188989749550819
N,8,8,262144,0.01786,fixed,1,0.1209417974948883
N,16,16,262144,0.01378,tuned,0,0.0620510636270046
N,16,16,262144,0.01378,tuned,1,0.0595893210172653
N,16,16,262144,0.01786,fixed,0,0.0636824613809585
N,16,16,262144,0.01786,fixed,1,0.0606658814847469
N,32,32,262144,0.01063,tuned,0,0.0345915409177541
N,32,32,262144,0.01063,tuned,1,0.0365794768929481
N,32,32,262144,0.01786,fixed,0,0.036348527520895
N,32,32,262144,0.01786,fixed,1,0.0385518001765012
N,64,64,262144,0.00821,tuned,0,0.0289865119755268
N,64,64,262144,0.00821,tuned,1,0.0302637985348701
N,64,64,262144,0.01786,fixed,0,0.0299153516441583
N,64,64,262144,0.01786,fixed,1,0.0307583270967006
N,128,128,262144,0.00633,tuned,0,0.0247543773055076
N,128,128,262144,0.00633,tuned,1,0.0273384230583906
N,128,128,262144,0.01786,fixed,0,0.0258149246126413
N,128,128,262144,0.01786,fixed,1,0.0267066324502229
N,256,256,262144,0.00489,tuned,0,0.0156209745816886
N,256,256,262144,0.00489,tuned,1,0.0248362824693322
N,256,256,262144,0.01786,fixed,0,0.0190645849704742
N,256,256,262144,0.01786,fixed,1,0.0234157491847872
N,512,512,262144,0.00377,tuned,0,0.0171714213117957
N,512,512,262144,0.00377,tuned,1,0.0213410865887999
N,512,512,262144,0.01786,fixed,0,0.0196601769328117
N,512,512,262144,0.01786,fixed,1,0.0218664307519793
N,768,768,262144,0.00324,tuned,0,0.0168261604756116
N,768,768,262144,0.00324,tuned,1,0.0199134929478168
N,768,768,262144,0.01786,fixed,0,0.0207214208692312
N,768,768,262144,0.01786,fixed,1,0.0217685534060001
N,1024,1024,262144,0.00291,tuned,0,0.0169577619433403
N,1024,1024,262144,0.00291,tuned,1,0.0192435684055089
N,1024,1024,262144,0.01786,fixed,0,0.0211394394189119
N,1024,1024,262144,0.01786,fixed,1,0.0232163958624005
N,1536,1536,262144,0.0025,tuned,0,0.0174333623051643
N,1536,1536,262144,0.0025,tuned,1,0.0185617015138268
N,1536,1536,262144,0.01786,fixed,0,0.0237237543240189
N,1536,1536,262144,0.01786,fixed,1,0.0247313149645924
N,2048,2048,262144,0.00224,tuned,0,0.0167489738576114
N,2048,2048,262144,0.00224,tuned,1,0.0179701608046889
N,2048,2048,262144,0.01786,fixed,0,0.0246358981728553
N,2048,2048,262144,0.01786,fixed,1,0.0259727856516838
N,3072,3072,262144,0.00193,tuned,0,0.0167458562552928
N,3072,3072,262144,0.00193,tuned,1,0.0180227330327034
N,3072,3072,262144,0.01786,fixed,0,0.0253800826519727
N,3072,3072,262144,0.01786,fixed,1,0.0273310581594705
